"sub","age","sex","yomt","somt","prof","style","trial_No","trial_idx","mel","resp","resp_rt","conf","conf_rt","cond","deviance","dev","acc"
5,29,"m","0","0",1,1,22,37,"4a",2,2.401,5,1.552,"tonal","dev",1,0
5,29,"m","0","0",1,1,23,12,"4a",2,1.955,6,1.439,"atonal","std",2,1
5,29,"m","0","0",1,1,24,44,"6a",2,1.804,7,2.422,"tonal","std",2,1
5,29,"m","0","0",1,1,25,15,"4b",2,1.723,6,2.434,"atonal","dev",1,0
5,29,"m","0","0",1,1,26,35,"3b",1,1.502,5,1.772,"tonal","dev",1,1
5,29,"m","0","0",1,1,27,38,"4b",2,1.669,6,2.158,"tonal","std",2,1
5,29,"m","0","0",1,1,28,40,"5a",1,4.822,2,2.45,"tonal","std",2,0
5,29,"m","0","0",1,1,29,32,"3a",2,2.959,5,4.42,"tonal","std",2,1
5,29,"m","0","0",1,1,30,42,"5b",2,2.053,7,1.021,"tonal","std",2,1
5,29,"m","0","0",1,1,31,20,"6a",2,1.591,6,1.186,"atonal","std",2,1
5,29,"m","0","0",1,1,32,7,"2b",1,1.62,3,3.984,"atonal","dev",1,1
5,29,"m","0","0",1,1,33,30,"2b",2,1.835,7,1.235,"tonal","std",2,1
5,29,"m","0","0",1,1,34,27,"1b",1,1.935,7,1.11,"tonal","dev",1,1
5,29,"m","0","0",1,1,35,19,"5b",2,2.384,5,2.352,"atonal","dev",1,0
5,29,"m","0","0",1,1,36,16,"5a",2,1.575,5,2.236,"atonal","std",2,1
5,29,"m","0","0",1,1,37,14,"4b",2,1.883,5,2.42,"atonal","std",2,1
5,29,"m","0","0",1,1,38,34,"3b",2,1.676,7,1.356,"tonal","std",2,1
5,29,"m","0","0",1,1,39,10,"3b",2,2.535,5,2.334,"atonal","std",2,1
5,29,"m","0","0",1,1,40,26,"1b",2,1.602,5,1.935,"tonal","std",2,1
5,29,"m","0","0",1,1,41,22,"6b",2,1.952,5,2.857,"atonal","std",2,1
5,29,"m","0","0",1,1,42,24,"1a",2,1.886,4,5.988,"tonal","std",2,1
5,29,"m","0","0",1,1,43,31,"2b",1,1.801,3,2.567,"tonal","dev",1,1
5,29,"m","0","0",1,1,44,1,"1a",2,1.788,4,1.302,"atonal","dev",1,0
5,29,"m","0","0",1,1,45,36,"4a",2,1.676,7,1.575,"tonal","std",2,1
5,29,"m","0","0",1,1,46,3,"1b",2,4.517,4,3.587,"atonal","dev",1,0
5,29,"m","0","0",1,1,47,29,"2a",1,1.401,7,1.073,"tonal","dev",1,1
6,29,"m","3","10",1,1,0,2,"1b",1,4.515,6,2.734,"atonal","std",2,0
6,29,"m","3","10",1,1,1,7,"2b",1,4.578,6,1.277,"atonal","dev",1,1
6,29,"m","3","10",1,1,2,24,"1a",2,2.859,7,1.927,"tonal","std",2,1
6,29,"m","3","10",1,1,3,34,"3b",2,3.616,7,1.193,"tonal","std",2,1
6,29,"m","3","10",1,1,4,39,"4b",1,2.187,7,1.2,"tonal","dev",1,1
6,29,"m","3","10",1,1,5,26,"1b",2,1.804,7,0.551,"tonal","std",2,1
6,29,"m","3","10",1,1,6,21,"6a",1,1.971,6,0.602,"atonal","dev",1,1
6,29,"m","3","10",1,1,7,11,"3b",1,4.255,2,1.637,"atonal","dev",1,1
6,29,"m","3","10",1,1,8,47,"6b",1,3.943,5,2.545,"tonal","dev",1,1
6,29,"m","3","10",1,1,9,10,"3b",2,1.792,5,1.841,"atonal","std",2,1
6,29,"m","3","10",1,1,10,22,"6b",2,2.286,5,2.474,"atonal","std",2,1
6,29,"m","3","10",1,1,11,0,"1a",1,3.401,6,1.636,"atonal","std",2,0
6,29,"m","3","10",1,1,12,12,"4a",2,2.035,5,1.911,"atonal","std",2,1
6,29,"m","3","10",1,1,13,46,"6b",2,1.839,7,1.73,"tonal","std",2,1
